Job Title,Company Name,Status,CTC,Recruiters Details,URL
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-cn-comms-media-non-networks-consultant-accenture-solutions-pvt-ltd-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-bangalore-bengaluru-1-to-6-years-240523910714?src=jobsearchDesk&sid=16850412591223646&xp=1&px=1
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-java-production-support-genpact-hyderabad-secunderabad-bangalore-bengaluru-delhi-ncr-3-to-6-years-250523008019?src=jobsearchDesk&sid=16850412591223646&xp=2&px=1
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-enterprise-monitoring-engineer-cotiviti-hyderabad-secunderabad-pune-3-to-8-years-140423005853?src=jobsearchDesk&sid=16850412591223646&xp=3&px=1
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-contract-to-hire-asp-net-core-angular-developer-shell-infotech-hyderabad-secunderabad-3-to-7-years-110423004483?src=jobsearchDesk&sid=16850412591223646&xp=4&px=1
job_title,company_name,Apply manually on company's portal,  Not Disclosed by Recruiter ,No Recruiters Details Found,https://www.naukri.com/job-listings-java-developer-allegis-group-hyderabad-secunderabad-telangana-3-to-8-years-240523005213?src=jobsearchDesk&sid=16850412591223646&xp=5&px=1
Core Java and Spring Developer,Thoughtclan Technologies,Applied Successfully,Not Disclosed,"410, 12th Main, Mysore Bank Colony, , Bangalore - 560050, BANGALORE, Karnataka, India",No URL
Core Java and Spring Developer,Thoughtclan Technologies,Already applied,Not Disclosed,"410, 12th Main, Mysore Bank Colony, , Bangalore - 560050, BANGALORE, Karnataka, India",No URL
Senior Engineer - PAM Solutions | Inspire Brands,Talent500,Applied Successfully,Not Disclosed,"Ground Floor, No. 3/7, 4 East Wing Prestige Sampa ngi Rama Nagar, , BANGALORE, Karnataka, India",No URL
Tracxn - Technology Lead - Elasticsearch/Springboot(3-14 Years),Tracxn,Applied Successfully,Not Disclosed,"L-248,2nd, 3rd and 4th Floor,,17th Cross, Sector 6, , HSR Layout,Bangalore, BANGALORE, Karnataka, India",No URL
Tracxn - Technology Lead - Backend - MongoDB/Springboot(3-14 yrs),Tracxn,Applied Successfully,Not Disclosed,"L-248,2nd, 3rd and 4th Floor,,17th Cross, Sector 6, , HSR Layout,Bangalore, BANGALORE, Karnataka, India",No URL
Tracxn - Technology Lead - Elasticsearch/Kafka(3-14 Years),Tracxn,Applied Successfully,Not Disclosed,"L-248,2nd, 3rd and 4th Floor,,17th Cross, Sector 6, , HSR Layout,Bangalore, BANGALORE, Karnataka, India",No URL
Tracxn - Technology Lead - Backend - Elasticsearch/MongoDB(3-14 yrs),Tracxn,Applied Successfully,Not Disclosed,"L-248,2nd, 3rd and 4th Floor,,17th Cross, Sector 6, , HSR Layout,Bangalore, BANGALORE, Karnataka, India",No URL
Tracxn - Technology Lead - Backend - Kafka/MongoDB(3-14 yrs),Tracxn,Applied Successfully,Not Disclosed,"L-248,2nd, 3rd and 4th Floor,,17th Cross, Sector 6, , HSR Layout,Bangalore, BANGALORE, Karnataka, India",No URL
"Tracxn - Technology Lead -Backend JavaScript,Kafka,MysqlDB(3-14 yrs)",Tracxn,Applied Successfully,Not Disclosed,"L-248,2nd, 3rd and 4th Floor,,17th Cross, Sector 6, , HSR Layout,Bangalore, BANGALORE, Karnataka, India",No URL
Sales - Cyber Security,Agility Human Resource Management Services Private Limited,Applied Successfully,8-15 Lacs P.A.,Priti.bhasin@agilityhrms.com 9811063994,No URL
Bare Metal Engineer,Vhunt4u,Applied Successfully,Not Disclosed,[],No URL
Engineer - Siebel,ANZ,Applied Successfully,Not Disclosed,[],No URL
Engineer - Siebel,ANZ,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=250523500681&multiApplyResp={%22250523500681%22:202}
.Net Engineer - C#/WPF/WCF,Career Infosystem,Applied Successfully,Not Disclosed,[],No URL
Software Developer - Java,Career Infosystem,Applied Successfully,Not Disclosed,[],No URL
Software Engineer - Java Developer - AngularJS,Hungry Bird Consulting Services,Applied Successfully,Not Disclosed,[],No URL
POS-Sr. Software Engineer,Geidea Infotech,Applied Successfully,Not Disclosed,[],No URL
POS-Sr. Software Engineer,Geidea Infotech,Apply manually on company's portal,  Not Disclosed by Recruiter ,[],https://www.naukri.com/myapply/showAcp?jquery=1&file=250523500283&multiApplyResp={%22250523500283%22:202}
